breakout_window,atr_buffer,atr_stop_multiple,trend_ema_period,volume_spike_multiplier,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct
80,0.6,1.2,100,3.0,30921.97,209.22,18.78,35,48.57
80,0.6,1.2,100,3.5,30595.42,205.95,18.78,41,43.90
80,0.6,1.5,60,2.5,29758.88,197.59,19.02,30,40.00
80,0.6,1.5,60,3.0,34822.83,248.23,19.02,33,42.42
80,0.6,1.5,60,3.5,31141.28,211.41,19.02,39,38.46
80,0.6,1.5,80,2.5,29758.88,197.59,19.02,30,40.00
80,0.6,1.5,80,3.0,34822.83,248.23,19.02,33,42.42
80,0.6,1.5,80,3.5,31141.28,211.41,19.02,39,38.46
80,0.6,1.5,100,2.5,29758.88,197.59,19.02,30,40.00
80,0.6,1.5,100,3.0,34822.83,248.23,19.02,33,42.42
80,0.6,1.5,100,3.5,31141.28,211.41,19.02,39,38.46
